date,ordinal,equity,cash,gross_exposure
2023-01-25,738545.0,100111.6856663386,95238.96106146343,4872.7246048751695
2023-01-26,738546.0,100078.88726071376,95238.96106146343,4839.926199250334
2023-01-27,738547.0,100068.39781670287,95238.96106146343,4829.436755239442
2023-01-28,738548.0,99991.25354835764,95238.96106146343,4752.29248689421
2023-01-29,738549.0,100210.77614895446,95238.96106146343,4971.815087491028
2023-01-30,738550.0,99973.4184706446,95238.96106146343,4734.457409181166
2023-01-31,738551.0,100031.24644295825,95238.96106146343,4792.285381494815
2023-02-01,738552.0,100201.58654959044,95238.96106146343,4962.62548812702
2023-02-02,738553.0,100205.93951771024,95238.96106146343,4966.978456246812
2023-02-03,738554.0,100267.60656607398,95238.96106146343,5028.645504610557
2023-02-04,738555.0,100276.25204442302,95238.96106146343,5037.290982959592
2023-02-05,738556.0,100163.3167048706,95238.96106146343,4924.355643407166
2023-02-06,738557.0,100118.78946847854,95238.96106146343,4879.82840701511
2023-02-07,738558.0,100290.30850397653,95238.96106146343,5051.347442513092
2023-02-08,738559.0,100228.03687670725,95238.96106146343,4989.075815243821
2023-02-09,738560.0,99910.39111974342,95238.96106146343,4671.430058279987
2023-02-10,738561.0,99771.48888824954,99771.48888824954,0
2023-02-11,738562.0,99771.48888824954,99771.48888824954,0
2023-02-12,738563.0,99771.48888824954,99771.48888824954,0
2023-02-13,738564.0,99771.48888824954,99771.48888824954,0
2023-02-14,738565.0,99771.48888824954,99771.48888824954,0
2023-02-15,738566.0,99771.48888824954,99771.48888824954,0
2023-02-16,738567.0,99771.48888824954,99771.48888824954,0
2023-02-17,738568.0,99771.48888824954,99771.48888824954,0
2023-02-18,738569.0,99771.48888824954,99771.48888824954,0
2023-02-19,738570.0,99771.48888824954,99771.48888824954,0
2023-02-20,738571.0,99771.48888824954,99771.48888824954,0
2023-02-21,738572.0,99771.48888824954,99771.48888824954,0
2023-02-22,738573.0,99771.48888824954,99771.48888824954,0
2023-02-23,738574.0,99771.48888824954,99771.48888824954,0
2023-02-24,738575.0,99771.48888824954,99771.48888824954,0
2023-02-25,738576.0,99771.48888824954,99771.48888824954,0
2023-02-26,738577.0,99771.48888824954,99771.48888824954,0
2023-02-27,738578.0,99771.48888824954,99771.48888824954,0
2023-02-28,738579.0,99771.48888824954,99771.48888824954,0
2023-03-01,738580.0,99771.48888824954,99771.48888824954,0
2023-03-02,738581.0,99771.48888824954,99771.48888824954,0
2023-03-03,738582.0,99771.48888824954,99771.48888824954,0
2023-03-04,738583.0,99771.48888824954,99771.48888824954,0
2023-03-05,738584.0,99771.48888824954,99771.48888824954,0
2023-03-06,738585.0,99771.48888824954,99771.48888824954,0
2023-03-07,738586.0,99771.48888824954,99771.48888824954,0
2023-03-08,738587.0,99771.48888824954,99771.48888824954,0
2023-03-09,738588.0,99771.48888824954,99771.48888824954,0
2023-03-10,738589.0,99771.48888824954,99771.48888824954,0
2023-03-11,738590.0,99771.48888824954,99771.48888824954,0
2023-03-12,738591.0,99771.48888824954,99771.48888824954,0
2023-03-13,738592.0,99771.48888824954,99771.48888824954,0
2023-03-14,738593.0,99771.48888824954,99771.48888824954,0
2023-03-15,738594.0,99771.48888824954,99771.48888824954,0
